"country","year","gdp","future_focus","future_horizon","past_focus","past_horizon"
"Argentina",2008,8223.305584,0.252029699738545,0.172242314362726,0,0.573859528470726
"Argentina",2009,7666.904916,0.398289440159913,0.151075327699534,0,0.511034838251294
"Argentina",2010,9124.335133,0.606711621812593,0.036568125293509,0.138462113865157,0.377940186952643
"Argentina",2011,10941.95872,0.439447024306919,0.0696303584873694,0,0.244453149207652
"Hungary",2008,15364.67955,0.12853724455002,0.0375321016691465,0.186103118396501,0.44066452025628
"Hungary",2009,12634.55114,0.201182779631751,0.192517861945227,0.181178930055514,0.33870140862273
"Hungary",2010,12863.13383,0.223725182817926,0.00490024089345325,0.297562324441581,0.510679735674349
"Hungary",2011,14043.66106,0.231607195721572,0.0456917668564817,0.18816766729126,0.327324886924043
"Nigeria",2008,1374.672235,0.133751900219994,0.436689869606731,0.155789650824652,0.435601418410751
"Nigeria",2009,1091.263976,0.514902325741787,0.517636832569576,0.220903045395887,0.387271451977613
"Nigeria",2010,1443.209591,0.305421378562699,0.836214143974248,0.21375223184406,0.432832254950386
"Nigeria",2011,1501.721583,0.280168576531725,0.78307609551122,0.227666010290418,0.419259792929345
"South Korea",2008,19028.01293,0.480828541277518,0.576840515801876,1,1
"South Korea",2009,16958.65239,1,0.623811843072548,1,1
"South Korea",2010,20540.17693,1,0.849746160935544,0.966699001067715,0.736494453801335
"South Korea",2011,22424.0623,1,0.72206928508324,1,0.938057330675432
"Brazil",2008,8628.952841,0.525027360256049,0.24465814106316,0.0150778803055013,0.515039996462917
"Brazil",2009,8391.668592,0.422546761266161,0.340953515472517,0.0809169343538457,0.195458377157099
"Brazil",2010,10992.94249,0.61893150789552,0.513446480857422,0.0935448032284985,0.359523542511136
"Brazil",2011,12593.89293,0.642079938162926,0.21670665575771,0.0821106561319713,0.475149242706243
"India",2008,1027.905475,0.255625120406439,0.225089422001622,0.373791172224756,0.499424585715992
"India",2009,1126.944723,0.361888337610493,0.0558028238703511,0.222365084834877,0.483491136549658
"India",2010,1375.384349,0.261152093542378,0.198676504278454,0.26065797399019,0.220195676626957
"India",2011,1488.512861,0.229161889638507,0,0.208285365666524,0.245778713789718
"United States",2008,46759.55984,0.523349613262684,0.797889837209173,0.260636820757235,0.664969407776249
"United States",2009,45305.05176,0.608873557058653,0.855092359331886,0.218024212595982,0.408763876280951
"United States",2010,46611.9751,0.578004383838758,0.93905160377603,0.139037179677085,0.595339783535313
"United States",2011,48111.96691,0.595984739443741,0.7406597249899,0.184983927126341,0.712270102312367
"Venezuela",2008,11297.66256,0.0759838348011088,0.281566729518234,0.11157702209129,0.35296196212556
"Venezuela",2009,11605.79832,0.235312089501491,0.383408231917184,0.0578523440866592,0.397364902630256
"Venezuela",2010,13657.74819,0.194732273985615,0.367839751076292,0.32933695810434,0.248671576140174
"Venezuela",2011,10809.55635,0.202228762946505,0.352433499480469,0.176995559635195,0.327964040984453
"Czech Republic",2008,21627.15596,0.326234664517782,0.263575243751583,0.514260178589203,0.580353075893618
"Czech Republic",2009,18805.65564,0.476594922737869,0.366534275366193,0.43455164701309,0.432344310048607
"Czech Republic",2010,18910.00501,0.450544177659158,0.428245709942209,0.499685782715517,0.748947079859883
"Czech Republic",2011,20579.03979,0.507569171182567,0.304750273720876,0.55740263525435,0.653992198807062
"Switzerland",2008,68555.37187,0.643955066770708,0.576910195341013,0.190063154078249,0.681806757181201
"Switzerland",2009,65790.06735,0.984936478829356,0.511084735635915,0.151186114743121,0.726762272230676
"Switzerland",2010,70561.43912,0.822275024114135,0.6357756917017,0,0.756116369619539
"Switzerland",2011,83382.81533,0.854961113479102,0.402788032751795,0.23371959056947,1
"Australia",2008,48971.67688,0.641318241478954,0.652539032247417,0.272606569605417,0.745198216856817
"Australia",2009,42000.01239,0.970067229391756,0.666315951974458,0.197649899744964,0.607052414010557
"Australia",2010,51085.68409,0.986944366756117,0.821197670666079,0.0993739484905019,0.923778041739129
"Australia",2011,60979.02894,0.827727313935365,0.626995666608447,0.222423757527884,0.889099737250029
"Colombia",2008,5423.266868,0.0660431833752373,0.030160796245421,0.64076846253643,0.514223482435798
"Colombia",2009,5133.391256,0.245302606638606,0.249070540258757,0.335555007204814,0.554106609770157
"Colombia",2010,6186.024868,0.245733843651371,0.359897393901229,0.519874624120769,0.425632338154265
"Colombia",2011,7104.034988,0.22524569129811,0.304453305819663,0.315687113444633,0.627397955521482
"Philippines",2008,1925.213376,0.0454756641938196,0.146664881410852,0.528756476023925,0
"Philippines",2009,1835.636513,0.21334737119878,0.357711915104275,0.418401337136871,0
"Philippines",2010,2140.121591,0.0469170337708377,0.142100488954853,0.452036776298214,0.113803728163695
"Philippines",2011,2369.517867,0.255403094117918,0.932226920899883,0.346314986577625,0.271227892136272
"Vietnam",2008,1070.154959,0,0.20722720976353,0.450581901630908,0.44175086135739
"Vietnam",2009,1129.67515,0,0.428210869687419,0.486851105368544,0.5074143516804
"Vietnam",2010,1224.314518,0,0.254014702328649,0.973483497689393,0.484945037788581
"Vietnam",2011,1407.105435,0.136777678862536,0.439235378640283,0.505303165693853,0.359826783091672
"Belgium",2008,47374.44813,0.514035752118451,0.538785538004487,0.144297544108649,0.849699391669904
"Belgium",2009,43847.99929,0.650078518802479,0.461392222604458,0.0791391030176561,0.559314251128133
"Belgium",2010,43006.12818,0.656628532406068,0.590375415264552,0.010287390286077,0.776952140500606
"Belgium",2011,46662.52826,0.72455448172439,0.322637826292043,0.153241813402079,0.776852188005806
"Spain",2008,34977.38905,0.169047451457033,0.399506151035574,0.0860854604345152,0.413077317838138
"Spain",2009,31714.24436,0.343414119846412,0.458249872022315,0.122437192836049,0.267641416231494
"Spain",2010,29956.15635,0.394714739959055,0.54882805633395,0.199972106621841,0.516104041441482
"Spain",2011,31942.94246,0.393938968885518,0.417538086872504,0.188792617914619,0.48935906976972
"Germany",2008,44132.04182,0.802603786631125,0.601870022988583,0.195559660628149,0.680885862510461
"Germany",2009,40275.25076,0.790484288054844,0.538936177055102,0.124718267911807,0.646561941137094
"Germany",2010,40163.8174,0.716566411016413,0.646968556559827,0.0944133233723184,0.790833354532447
"Germany",2011,44059.82592,0.818081756934535,0.343364453897334,0.188376585085731,0.866669474143663
"France",2008,43992.09864,0.580837917923956,0.401565970487396,0.10274624067903,0.585656125330268
"France",2009,40477.06443,0.631355678727703,0.5229382698024,0.164819954780072,0.368468153425898
"France",2010,39170.2647,0.741193245422343,0.609678216770158,0.116874325921669,0.79438186781051
"France",2011,42377.41813,0.753573146967984,0.375384683764074,0.135410420546964,0.662332835817336
"Sweden",2008,52730.77539,0.285552954173509,0.444773027655416,0.256204150219664,0.711317696515251
"Sweden",2009,43639.54832,0.438731065404278,0.514412610431366,0.207680532310202,0.559476071034662
"Sweden",2010,49359.86692,0.357672010280975,0.570941154456205,0.0940399860136619,0.792307976918073
"Sweden",2011,57091.04666,0.385892449031029,0.343649131473207,0.156663094956808,0.643217438543875
"Netherlands",2008,52951.03359,0.594408888912541,0.576300755468212,0.206209797169371,0.71032706671643
"Netherlands",2009,48173.90657,0.654786660655823,0.560171462937228,0.111919306126959,0.54490933931482
"Netherlands",2010,46622.90252,0.586830215104177,0.575410260939212,0.0178272981044477,0.788279204865253
"Netherlands",2011,50076.28241,0.71447974984012,0.320677232640957,0.156238702583649,0.605396291673093
"Kazakhstan",2008,8513.567547,0.355087253340363,0,0.411979818351297,0.644010130255975
"Kazakhstan",2009,7164.931391,0.678235605376278,0.0809572030059126,0.331150450417533,0.412203590804716
"Kazakhstan",2010,9070.009729,0.535013067512559,0.00255907658175257,0.381189442069312,0.492452618593595
"Kazakhstan",2011,11356.73231,0.392376567471982,0.429072665626942,0.49862732444445,0.247527503777888
"Indonesia",2008,2171.7048,0.0479621369557729,0.384321602236306,0.018625000050404,0.484681776844813
"Indonesia",2009,2272.733849,0.0505035181368144,0.397223611237395,0.0368635092505932,0.187691997047058
"Indonesia",2010,2951.699149,0.0744683316921348,0.559530950478084,0.0986197308605787,0.299666590122911
"Indonesia",2011,3494.604574,0.240089102352632,0.251064375294076,0.0832025637158316,0.495924188672665
"Thailand",2008,3992.761925,0.351173597512457,0.26055638428543,0.245124205387664,0.962851951460626
"Thailand",2009,3838.249594,0.472664388495124,0.265248928144041,0.291571435006951,0.555199113575382
"Thailand",2010,4613.68089,0.387986604787038,0.411545516071621,0.359139612314732,0.7452043072096
"Thailand",2011,4972.373665,0.889689707693288,0.841930286553017,0.465950048927515,0.432682909809178
"Russia",2008,11700.22112,0.295471369958363,0.233713101459244,0.390503950598267,0.449087340124571
"Russia",2009,8615.658757,0.5648357801308,0.32259061204279,0.500003401839416,0.34519377385758
"Russia",2010,10481.36702,0.463619354716853,0.24647027300868,0.50054930695402,0.465364204758266
"Russia",2011,13089.33753,0.510850995617558,0.186809541243311,0.55901218976947,0.497866934474797
"Portugal",2008,23716.39042,0.522891773230931,0.251394012966821,0.223400832570226,0.638267301589843
"Portugal",2009,22015.9151,0.585255916315718,0.322128417135652,0.21027395920035,0.359295931260818
"Portugal",2010,21358.42659,0.630619334324156,0.322370190567301,0.305706731813808,0.59945717046549
"Portugal",2011,22315.84198,0.662125350767163,0.139170447800438,0.297725905974761,0.621107892843433
"Canada",2008,45099.61337,0.520761660316985,1,0.256496467384181,0.643042755786351
"Canada",2009,39655.79404,0.835844303634497,1,0.234300239318601,0.489442608326971
"Canada",2010,46212.02947,0.562566974709883,0.999384420594614,0.0822854149126891,0.780561557145375
"Canada",2011,50345.43489,0.609526234733116,0.859322486778689,0.204359723741882,0.778498893450138
"Malaysia",2008,8398.936503,0.578785705677139,0.527497639107039,0.293292982444624,0.443076050258694
"Malaysia",2009,7236.352297,0.719757557191875,0.500987121863316,0.253179960534899,0.434646658220829
"Malaysia",2010,8690.570239,0.694711337429146,0.529687405596271,0.198311332489489,0.489642642438375
"Malaysia",2011,9977.318518,0.687491196417941,0.413107722705919,0.222193773964905,0.567313251112399
"Austria",2008,49679.1107,0.523955047619672,0.473962186854507,0.14188262574181,0.737563367504084
"Austria",2009,45859.42555,0.794011643265832,0.407113040123171,0.141812312409629,0.640141448856498
"Austria",2010,44916.36084,0.754523688893038,0.475519537116976,0.121283770380257,0.678832450794223
"Austria",2011,49608.76143,0.701120419613061,0.402734834446697,0.208398004016175,0.837739089540771
"United Kingdom",2008,43146.82944,0.638719602010944,0.658082430638353,0.163564414227853,0.768423777362958
"United Kingdom",2009,35331.28096,0.71035547409542,0.63408835075813,0.101991256958353,0.535031245036781
"United Kingdom",2010,36256.01096,0.643285113813261,0.765526915075491,0.0247339384214437,0.748989725166496
"United Kingdom",2011,39038.45827,0.840550444253467,1,0.138353289356589,0.817789101643187
"Saudi Arabia",2008,18202.75046,1,0.541556407120085,0.182426808480072,0.674407557933845
"Saudi Arabia",2009,14050.94774,0.760190446703008,0.493145403682909,0.182724014171834,0.305632283335068
"Saudi Arabia",2010,16423.44024,0.901270841681169,0.863711859612675,0.338579828846039,0.203258815830289
"Saudi Arabia",2011,20540.30652,0.911159023128113,0.552360476384751,0.315342287015482,0.189340136829181
"Chile",2008,10694.86872,0.284225238245864,0.0418416740787465,0.23919574906467,0.763230816646066
"Chile",2009,10178.89268,0.58738561230944,0.229480557345785,0.106635233216813,0.571369082357721
"Chile",2010,12639.52426,0.415000631341932,0.0515248529836542,0.232742826149966,0.431122955533859
"Chile",2011,14394.46076,0.447226953580108,0.100994271601641,0.250857313080827,0.514812024806412
"Italy",2008,38563.05309,0.318877558506346,0.339050365497484,0.0816270465841242,0.423662223897785
"Italy",2009,35073.15802,0.38406473757503,0.393105704287455,0.144850622983028,0.240345497416024
"Italy",2010,33786.64289,0.603525431582617,0.564828545182231,0.153937162772046,0.525101865350717
"Italy",2011,36102.86429,0.531324798138457,0.314707143837448,0.0757271145653603,0.598067425679387
"Turkey",2008,10297.50545,0.12205699931441,0.200688622100669,0.127424374123746,0.560848329646894
"Turkey",2009,8553.741453,0.383820256608973,0.540761666635358,0.276145134137113,0.553291381525963
"Turkey",2010,10049.77356,0.549585417211914,0.258739179446573,0.314453029813834,0.753063570387063
"Turkey",2011,10524.00421,0.381428259574657,0.275437339231349,0.209060084419357,0.405797758260936
"Mexico",2008,9893.414594,0.259336998586841,0.548511007654983,0.260203919369915,0.800882632862764
"Mexico",2009,7852.154776,0.372529989773687,0.569734438667985,0.0964380314452359,0.434158204986784
"Mexico",2010,9127.541274,0.258943729261834,0.651274266857185,0.184583909861324,0.347298642565059
"Mexico",2011,10047.1252,0.270071337140975,0.595391653212522,0.200967440913679,0.437502526729372
"China",2008,3413.588661,0.0462134446303881,0.126393115856777,0.610088755775407,0.111069681659644
"China",2009,3748.934494,0.379620498313013,0.419180969592687,0.938704693245377,0.420487947906531
"China",2010,4432.963557,0.441877247715501,0.307595045416777,0.692708147111454,1
"China",2011,5444.785303,0.510838963235906,0.410734284952807,0.522348991370824,0.594627268177749
"Romania",2008,9299.738685,0.025427656045928,0.0184963129375635,0.0675483719661573,0.23045753237888
"Romania",2009,7500.340445,0.146170874333113,0,0.097211672792024,0.425208186801768
"Romania",2010,7539.357263,0.172586289642041,0,0.390207602056976,0.0774841842086013
"Romania",2011,8405.493798,0.145597861125103,0.371805286459946,0.161532647444198,0.0318007427910435
"Japan",2008,37972.23721,0.616539943053662,0.550191798905438,0.320521118694023,0.883419954197735
"Japan",2009,39473.36291,0.791865332965099,0.776016955381798,0.322490638342744,0.697438435186032
"Japan",2010,43063.13637,0.842329168296822,1,0.231160518889598,0.917567904846924
"Japan",2011,45902.67161,0.949994672502533,0.952764251351971,0.36717127516757,0.859522189106703
"Pakistan",2008,978.7952813,0.167610979616895,0.413172561563513,0.504477559506344,0.886428102546377
"Pakistan",2009,949.1165849,0.19893903834887,0.278681304771556,0.437646968771984,0.615933032675621
"Pakistan",2010,1016.614375,0.0773602679442842,0.225926557810511,0.472719450651047,0.772733844601082
"Pakistan",2011,1189.373193,0,0.476988881674089,0.338560173829371,0.550985354330381
"Peru",2008,4457.927758,0.00728028234202328,0.0123240720501625,0.263052549185425,0.816410353470882
"Peru",2009,4412.386795,0.231505084344207,0.194995041533117,0.128823823886017,0.529373458691517
"Peru",2010,5283.224595,0.146739721763099,0.390033706838235,0.283661041000809,0.428343336054042
"Peru",2011,6017.906232,0.136876854918217,0.201889619262263,0.228891291454525,0.442989451676353
"Ukraine",2008,3891.037823,0.414842931553078,0.142417731985568,0.279580621541485,0.390987548734884
"Ukraine",2009,2545.480341,0.606961489520862,0.157328091880404,0.300298582997906,0.319689110376834
